CombinacionID,PatronEolica,CostoTotal,SolucionValida,HorasCriticas
158,000000000000000010011110,103.50,SI,19
159,000000000000000010011111,98.50,SI,18
160,000000000000000010100000,120.00,SI,22
161,000000000000000010100001,117.50,SI,21
162,000000000000000010100010,120.00,SI,21
163,000000000000000010100011,112.50,SI,20
164,000000000000000010100100,120.00,SI,21
165,000000000000000010100101,117.50,SI,20
166,000000000000000010100110,112.50,SI,20
167,000000000000000010100111,108.50,SI,19
168,000000000000000010101000,120.00,SI,21
169,000000000000000010101001,117.50,SI,20
170,000000000000000010101010,120.00,SI,20
171,000000000000000010101011,112.50,SI,19
172,000000000000000010101100,112.50,SI,20
173,000000000000000010101101,110.00,SI,19
174,000000000000000010101110,112.50,SI,19
175,000000000000000010101111,103.50,SI,18
176,000000000000000010110000,112.50,SI,21
177,000000000000000010110001,110.00,SI,20
178,000000000000000010110010,112.50,SI,20
179,000000000000000010110011,105.00,SI,19
180,000000000000000010110100,112.50,SI,20
181,000000000000000010110101,110.00,SI,19
182,000000000000000010110110,105.00,SI,19
183,000000000000000010110111,101.00,SI,18
184,000000000000000010111000,112.50,SI,20
185,000000000000000010111001,110.00,SI,19
186,000000000000000010111010,112.50,SI,19
187,000000000000000010111011,105.00,SI,18
188,000000000000000010111100,103.50,SI,19
189,000000000000000010111101,101.00,SI,18
190,000000000000000010111110,98.50,SI,18
191,000000000000000010111111,93.50,SI,17
192,000000000000000011000000,112.50,SI,22
193,000000000000000011000001,110.00,SI,21
194,000000000000000011000010,112.50,SI,21
195,000000000000000011000011,105.00,SI,20
196,000000000000000011000100,112.50,SI,21
197,000000000000000011000101,110.00,SI,20
198,000000000000000011000110,105.00,SI,20
199,000000000000000011000111,101.00,SI,19
200,000000000000000011001000,112.50,SI,21
201,000000000000000011001001,110.00,SI,20
202,000000000000000011001010,112.50,SI,20
203,000000000000000011001011,105.00,SI,19
204,000000000000000011001100,105.00,SI,20
205,000000000000000011001101,102.50,SI,19
206,000000000000000011001110,105.00,SI,19
207,000000000000000011001111,96.00,SI,18
208,000000000000000011010000,112.50,SI,21
209,000000000000000011010001,110.00,SI,20
210,000000000000000011010010,112.50,SI,20
211,000000000000000011010011,105.00,SI,19
212,000000000000000011010100,112.50,SI,20
213,000000000000000011010101,110.00,SI,19
214,000000000000000011010110,105.00,SI,19
215,000000000000000011010111,101.00,SI,18
216,000000000000000011011000,105.00,SI,20
217,000000000000000011011001,102.50,SI,19
218,000000000000000011011010,105.00,SI,19
219,000000000000000011011011,97.50,SI,18
220,000000000000000011011100,105.00,SI,19
221,000000000000000011011101,102.50,SI,18
222,000000000000000011011110,96.00,SI,18
223,000000000000000011011111,91.00,SI,17
224,000000000000000011100000,112.50,SI,21
225,000000000000000011100001,110.00,SI,20
226,000000000000000011100010,112.50,SI,20
227,000000000000000011100011,105.00,SI,19
228,000000000000000011100100,112.50,SI,20
229,000000000000000011100101,110.00,SI,19
230,000000000000000011100110,105.00,SI,19
231,000000000000000011100111,101.00,SI,18
232,000000000000000011101000,112.50,SI,20
233,000000000000000011101001,110.00,SI,19
234,000000000000000011101010,112.50,SI,19
235,000000000000000011101011,105.00,SI,18
236,000000000000000011101100,105.00,SI,19
237,000000000000000011101101,102.50,SI,18
238,000000000000000011101110,105.00,SI,18
239,000000000000000011101111,96.00,SI,17
240,000000000000000011110000,103.50,SI,20
241,000000000000000011110001,101.00,SI,19
242,000000000000000011110010,103.50,SI,19
243,000000000000000011110011,96.00,SI,18
244,000000000000000011110100,103.50,SI,19
245,000000000000000011110101,101.00,SI,18
246,000000000000000011110110,96.00,SI,18
247,000000000000000011110111,92.00,SI,17
248,000000000000000011111000,98.50,SI,19
249,000000000000000011111001,96.00,SI,18
250,000000000000000011111010,98.50,SI,18
251,000000000000000011111011,91.00,SI,17
252,000000000000000011111100,93.50,SI,18
253,000000000000000011111101,91.00,SI,17
254,000000000000000011111110,88.50,SI,17
255,000000000000000011111111,83.50,SI,16
256,000000000000000100000000,120.00,SI,24
257,000000000000000100000001,117.50,SI,23
258,000000000000000100000010,120.00,SI,23
259,000000000000000100000011,112.50,SI,22
260,000000000000000100000100,120.00,SI,23
261,000000000000000100000101,117.50,SI,22
262,000000000000000100000110,112.50,SI,22
263,000000000000000100000111,108.50,SI,21
264,000000000000000100001000,120.00,SI,23
265,000000000000000100001001,117.50,SI,22
266,000000000000000100001010,120.00,SI,22
267,000000000000000100001011,112.50,SI,21
268,000000000000000100001100,112.50,SI,22
269,000000000000000100001101,110.00,SI,21
270,000000000000000100001110,112.50,SI,21
271,000000000000000100001111,103.50,SI,20
272,000000000000000100010000,120.00,SI,23
273,000000000000000100010001,117.50,SI,22
274,000000000000000100010010,120.00,SI,22
275,000000000000000100010011,112.50,SI,21
276,000000000000000100010100,120.00,SI,22
